id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
55210;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,7288;78;2;0;0,025641026;0,332241523
43622;Psicologia;PS;Setor de Ciências Humanas;I;Bacharelado;Formatura;0,9173;173;0;0;0;0,332244473
55663;Química;PH;Setor de Ciências Exatas;I;ABI;Sem evasão;0,5977;67;14;0;0,208955224;0,332255738
10552;Zootecnia;LS;Setor de Ciências Agrárias;I;Bacharelado;Abandono;0,1175;9;8;1;0,888888889;0,332284206
28465;Informática Biomédica;CS;Setor de Ciências Exatas;I;Bacharelado;Abandono;0,7067;29;2;1;0,068965517;0,332305637
6713;Secretariado;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,7896;57;1;0;0,01754386;0,332310716
39483;Agronomia;LS;Setor Palotina;I;Bacharelado;Formatura;0,8137;155;0;0;0;0,332325463
61430;Psicologia;PS;Setor de Ciências Humanas;I;Bacharelado;Sem evasão;0,9192;77;0;0;0;0,332335725
34297;Ciências Contábeis;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,8123;50;0;0;0;0,332357896
2271;Produção Cênica;AH;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Abandono;0,046;7;3;1;0,428571429;0,332360779
73616;Terapia Ocupacional;PS;Setor de Ciências da Saúde;I;Bacharelado;Sem evasão;0,403;35;12;0;0,342857143;0,332370215
33668;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,6963;104;6;0;0,057692308;0,332395562
50903;Ciências Sociais;ED;Setor de Ciências Humanas;M;Licenciatura;Formatura;0,8954;61;0;0;0;0,33241799
69835;Ciências Contábeis;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,8575;32;0;0;0;0,332422353
51627;Engenharia Química;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,6336;121;7;0;0,05785124;0,332434072
28585;Ciências Econômicas;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,7101;48;1;0;0,020833333;0,332445217
32270;Engenharia Mecânica;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,5021;182;40;0;0,21978022;0,332445723
24947;Engenharia de Produção;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,6078;145;20;0;0,137931034;0,332462742
26951;Engenharia de Produção;ET;Jandaia;T;Bacharelado;Formatura;0,6576;75;12;0;0,16;0,332503991
19767;Engenharia Agrícola;LS;Jandaia;M;Bacharelado;Abandono;0,2085;32;23;1;0,71875;0,332515285
